name,price,condition,brand,model,memory_GB,title,info,link
ASUS NVIDIA GeForce RTX 3060 Ti 8 GB,259.99,Pre-Owned,ASUS,NVIDIA GeForce RTX 3060 Ti,8.0,New ListingASUS TUF NVIDIA GeForce RTX 3060 TI 8GB GDDR6 OC Graphics Card,Pre-Owned · ASUS · NVIDIA GeForce RTX 3060 Ti · 8 GB,https://www.ebay.com/itm/374775205575?epid=16049131519&hash=item574257cec7%3Ag%3AtS8AAOSwHCBkmEFo&amdata=enc%3AAQAIAAAA4MPrFpnIYaWThk4YjCMlci3MF8hKnChYHQiPSvsvHv%2BAbtQGuOMnI10TdDJ5uj1xsJA01hxgVoL%2BKZ9f9nRbc6tbizwXCqMyM6agMjyFuw3pGmCdM6JNAmwYs5iBPbuL%2B%2FrvVY9qQQ6oVei8VrhnE9Ztg3IuQfn07gWYG3GRNMb8K6Aks1sGVw%2F7CeLtMd2ckipkPsTTM%2BBoBqoJvKlmS%2Bju%2BVo%2F1Ys6sMyIdecKuTg1zaLDZYGiF%2FLjW%2FQsSz%2BF%2BPILC3qv3jhqdE%2F8t0xmYqhT7BQ70V4%2B79xvGzrS%2B%2B9T%7Ctkp%3ABk9SR5jE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
NVIDIA NVIDIA GeForce RTX 2080 Super 8 GB,232.5,Pre-Owned,NVIDIA,NVIDIA GeForce RTX 2080 Super,8.0,NVIDIA GeForce RTX 2080 Super GDDR6 Founders Edition Graphics Card - 8GB,Pre-Owned · NVIDIA · NVIDIA GeForce RTX 2080 Super · 8GB,https://www.ebay.com/itm/325700341743?epid=13036084099&hash=item4bd540cfef%3Ag%3ASWoAAOSwQ4dkkJSY&amdata=enc%3AAQAIAAAAwN8n4B5qLFTXo%2FHRS9R8ojFP99%2Blh7nW%2FSzOVyc17FnNE4xl5WsALflJ%2B7fDJuKGlOdtwb0wUCU8z9%2B5jOtzRIffJPbmLRq7aBD3BXcS4URAr7PXWx4y9xs7C1VfI1EOLIVHKF2a%2F3muPfaMiYJcZRTnBY9ji3Ciz0mkZdJZxoBbtfwQeU3ktsziM7EYWKvr7fkTHNyuxgq1RBdJ4c%2FBJGfWDh6a4M2y4fhm9has95NmOt5efLDStbMfJMfkvmCoxQ%3D%3D%7Ctkp%3ABk9SR5jE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
XFX AMD Radeon RX 580 8 GB,79.95,Pre-Owned,XFX,AMD Radeon RX 580,8.0,XFX AMD Radeon RX 580 8GB GDDR5 Graphics Card - RX-580P8DFD6,Pre-Owned · XFX · AMD Radeon RX 580 · 8 GB,https://www.ebay.com/itm/275915192201?epid=17012571362&hash=item403dd3b789%3Ag%3ATJoAAOSwKp1kSrmc&amdata=enc%3AAQAIAAAA4LvP9XUBjWzYXXkvstVvDr%2FHzGv7SIcp4Lhd5FaVN6RTPWmApkepZKVcCNB3yNh%2BdLprHYzogaKnMCT3nFTPMR9s7V3y1W2q%2F39pCQ8O2nVyHszFIa82vJhhetbjP8%2Fv8NvkwcWvQGXfjcXccq38yt6OtX866pfnulyc0vF5csrfJGaKT8ND8CdkG%2FZrwCH2yq03IZvVOcxeEP6BdG4YV5aVFyqhlOSbq8qFnJ%2BP3QfQ54IDQONyKMa80j96ZwUHWBfR2JH7BUb7%2Bb1U2dyk2bMtQ66uIt%2BFk%2FYdrdX%2BaiUu%7Ctkp%3ABk9SR5jE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
EVGA NVIDIA GeForce RTX 3060 Ti 8 GB,225.0,Pre-Owned,EVGA,NVIDIA GeForce RTX 3060 Ti,8.0,EVGA GeForce RTX 3060 Ti XC GAMING 8GB GDDR6 Graphics Card (08G-P5-3663-KL),Pre-Owned · EVGA · NVIDIA GeForce RTX 3060 Ti · 8 GB,https://www.ebay.com/itm/266304790412?epid=7048188903&hash=item3e01009f8c%3Ag%3AF-gAAOSwEWlkkJOn&amdata=enc%3AAQAIAAAAwEQ%2B7JoHomF7h1%2By4Zyp91yhCopjAJ7x90MF%2BFlYtuYux2fN%2FSrdX8F%2BMri0fvLRRQ8MPLe7urjxB59Lz6wOkDH7IoNj4ZnUAK2Jcg9JTn1Dv3cA0cc68Xu4sQC99cnTPPoOGAttO%2FNJPSt3S3fSzI45i8KMLFUkXdgSwpqk2IHm4HRj2CAClwxfuUKfNlLuliVeE8FHKq2p2FAozWfb7JvF4jLPgm53g1WSbc3vqdl8CYQcMlXXiX1R0egj%2FUlb%2Fw%3D%3D%7Ctkp%3ABk9SR5rE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
NVIDIA NVIDIA Quadro 4000 8 GB,180.0,Pre-Owned,NVIDIA,NVIDIA Quadro 4000,8.0,Nvidia Quadro P4000 8GB HP GDDR5 Workstation Graphics Card,Pre-Owned · NVIDIA · NVIDIA Quadro 4000 · 8 GB,https://www.ebay.com/itm/404348964911?hash=item5e2513902f%3Ag%3A5f4AAOSwafJklB5T&amdata=enc%3AAQAIAAAA4ECnwGB4Q7HUXQqKpyepyMguCkC4UmrbhDJeaMy2%2BxHYYX9HGDKDJvHsV0b1fmCDbBjTQMaNdWIn8N3GTN9uhC61DXhKZuCDKZ%2BFZYYIdBe619nC3LxlK33yfE%2BKiHYhTNpU3r%2FyTW%2FqkBvSLqm22T4jc26F0%2BaNg3RqPpZIcAcOLJ46L6lBH76IU28fFQ%2BFcZAop9gy9wtHDu1uOCSeH9C94kuKSFNk%2BRqzJruI2KPzQNgluNxHNDhRo6mxBpjiPTHLJyMCiOnU4nDP2UJ70C1P3CXJ7V0I2AbqNzoKJc8z%7Ctkp%3ABk9SR5rE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
EVGA NVIDIA GeForce RTX 3070 8 GB,243.0,Pre-Owned,EVGA,NVIDIA GeForce RTX 3070,8.0,EVGA GeForce RTX 3070 XC3 8GB GDDR6 Graphic Card (08GP53755KL),Pre-Owned · EVGA · NVIDIA GeForce RTX 3070 · 8 GB,https://www.ebay.com/itm/166192983841?epid=24048051957&hash=item26b1dfaf21%3Ag%3Av84AAOSwvYdkmHma&amdata=enc%3AAQAIAAAAwHzt8Sfh%2FBiHhGbzTEoAz5bRd9p8ZZdB%2B82ecQXHfOXhru7h1LMvF9gJ5Jl2hBNsHzKpNFK4YF5xlS31P7vuSxG7KXqlaPQqM3tGmWCw4f8DFBpoP%2BaU42guEPe7h4Ydb4toK%2BHwIQMUuASUZYem%2Brvna8ECkbA2Us7z1BB%2FIRk4SchIphqYX9CGCfjFR3gWKeCieID1%2BwtaNJIlYsoztQklDuHfw5hX2uuPc9Av1xMK93cRVZ0rYOJ3vc%2Fvja9asw%3D%3D%7Ctkp%3ABk9SR5rE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
ZOTAC NVIDIA GeForce GTX 1060 6 GB,70.0,Pre-Owned,ZOTAC,NVIDIA GeForce GTX 1060,6.0,New ListingZOTAC GeForce GTX 1060 6gb Mini Graphics Card - Black (ZT-P10600A-10L),Pre-Owned · ZOTAC · NVIDIA GeForce GTX 1060 · 6 GB,https://www.ebay.com/itm/385709592639?epid=18008089853&hash=item59ce15503f%3Ag%3A9rUAAOSwQrhklkKe&amdata=enc%3AAQAIAAAA4J7hK4HtS4ZWEohUz79aGGFIeIweUsdOpWgCwZ6eBOO4F7Ucnsgwf5s9ZJn2unAUWyamSW700bv8A2I7Di2DGweI8G7mNpepxHRBL8ncUOVcqYmCbsAiXXczcuO4tN3OiwIl%2FRncGS7Y%2BYvH3Q413jXrz8M5pNfQ5LnJJK0bEbCDBX3JtPQHMpYGeN6iyDFjMbcOx1YXitP%2Fo04IwlGUm4h8OQbaeBPpBg%2Bb56nJqqsGoM9ddHaj3eO7Npl0pOqaFAONjmcYfAQlht7NkAONJZM4sdUCLuMqVRQcbEEB4q3b%7Ctkp%3ABk9SR5rE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
ASUS NVIDIA GeForce RTX 3060 12 GB,279.99,Open Box,ASUS,NVIDIA GeForce RTX 3060,12.0,ASUS GeForce RTX 3060 12GB GDDR6 PCI E 4.0 Graphics Card DUAL-RTX3060-O12G-V2,Open Box · ASUS · NVIDIA GeForce RTX 3060 · 12 GB,https://www.ebay.com/itm/304972241726?epid=18050527879&hash=item4701c31b3e%3Ag%3AufcAAOSwdWNkam5q&amdata=enc%3AAQAIAAAAwHCIU1fXZn7lqBZWlcTo3hey9cLRJy0oBmsDPprZDyKuBRBeakfzINuSTVXB0yrYoYK7075ofJWVq0O5mgKnVO%2FKUwqAB%2F2AFNWZq7GRGeoSdQqf37GrQyBft1m0bqomQ%2BAGQA2uG%2F98Gm9xDb0VeUuP3GOBtaCqUF8Gp0RWLarQgDFERlxAuq4vCc0GakmiZRaQyMZaQafFyipqPw2Tn9w3FGneW9V65Dfr%2Buy0WPlVxgpPrGHsVO3mxYgcjKd7rQ%3D%3D%7Ctkp%3ABk9SR5rE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
ZOTAC NVIDIA GeForce RTX 2070 8 GB,217.79,Pre-Owned,ZOTAC,NVIDIA GeForce RTX 2070,8.0,ZOTAC RTX 2070 8GB Blower Graphics Card | 4K & VR READY!,Pre-Owned · ZOTAC · NVIDIA GeForce RTX 2070 · 8 GB,https://www.ebay.com/itm/115475897279?hash=item1ae2e65bbf%3Ag%3AuREAAOSwgsdhvSAZ&amdata=enc%3AAQAIAAAAwKdSY9leMQMGWzl2l5USyMHBX0PH4XSGACX47W%2FDO0Xb9qVEpWyw38twsiosLGD%2FL3ykD%2F6s8o97Zh10REYhwcw3724Bvxc%2FHxUBSd5Qu4e3qzNIMRWovpIoQ6czSP8Th4IxGVtXZaGFA%2FyotGMMkfKt%2Bo528cmEbqu6gsYld5aQoN%2FPgWui2VCpZDZZ9ZfJ2aY4hGioyWhaUWAW3EdsD7tC2ZWQeZxZY36rhiQLMHBgARuNjcvjXTmwRuIQyxUCyA%3D%3D%7Ctkp%3ABk9SR5zE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
EVGA NVIDIA GeForce GTX 1060 6 GB,60.0,Pre-Owned,EVGA,NVIDIA GeForce GTX 1060,6.0,EVGA NVIDIA GeForce GTX 1060 6GB Graphics Card,Pre-Owned · EVGA · NVIDIA GeForce GTX 1060 · 6 GB,https://www.ebay.com/itm/256115190623?epid=245347643&hash=item3ba1a7ab5f%3Ag%3A7H4AAOSwJ4RkLDjI&amdata=enc%3AAQAIAAAA4AW4KGPaWJpC29MybS36Avc%2BVMUysUP07JvavyXN31sriLv2vtIO7ieHtkqPGfcOGZO0PsO66xtAZlS1z%2FxJfwpsi5Ks3H%2FVJEz0ymOumBlyKdanUrePJW3mtTnAVsvLSToObO6iP6taA5Xxa0KgOmTtL%2Fw58li6tkih4yfdn54bVQHBTPHDyilZDzZO5ETmDpXGc4ArpBsW82pLEGTzZOBZMi6JEXdAHxxMWK0DNUB354TYUyxlXC9mNxEDkL8IozzPYKEYCsAbZIbTbI1Tpmn6riL%2FhyJXH1jHDgkb0ooJ%7Ctkp%3ABk9SR5zE0I2fYg&LH_ItemCondition=1000%7C1500%7C2000%7C2020%7C2500%7C3000
