name,price,condition,brand,model,memory,powerPerformance,category,performance_score
ASUS NVIDIA GeForce RTX 3060 Ti 8 GB,259.99,Pre-Owned,ASUS,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
XFX AMD Radeon RX 580 8 GB,79.95,Pre-Owned,XFX,Radeon RX 580,8,48.14,Desktop,8313.5
EVGA NVIDIA GeForce RTX 3060 Ti 8 GB,225,Pre-Owned,EVGA,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
EVGA NVIDIA GeForce RTX 3070 8 GB,243,Pre-Owned,EVGA,GeForce RTX 3070,8,100.42,Desktop,15891.5
ZOTAC NVIDIA GeForce GTX 1060 6 GB,70,Pre-Owned,ZOTAC,GeForce GTX 1060,6,83.92,Desktop,8845
ASUS NVIDIA GeForce RTX 3060 12 GB,279.99,Open Box,ASUS,GeForce RTX 3060,12,99.76,Desktop,13234
ZOTAC NVIDIA GeForce RTX 2070 8 GB,217.79,Pre-Owned,ZOTAC,GeForce RTX 2070,8,91.88,Desktop,12204.5
EVGA NVIDIA GeForce GTX 1060 6 GB,60,Pre-Owned,EVGA,GeForce GTX 1060,6,83.92,Desktop,8845
EVGA NVIDIA GeForce RTX 3060 12 GB,155,Pre-Owned,EVGA,GeForce RTX 3060,12,99.76,Desktop,13234
POWERCOLOR AMD Radeon RX 6900 XT 16 GB,405,Pre-Owned,POWERCOLOR,Radeon RX 6900 XT,16,84.86,Desktop,18239
SAPPHIRE AMD Radeon RX 5700 XT 8 GB,143.5,Pre-Owned,SAPPHIRE,Radeon RX 5700 XT,8,75.08,Desktop,13221
GIGABYTE NVIDIA GeForce GTX 1050 Ti 4 GB,65,Pre-Owned,GIGABYTE,GeForce GTX 1050 Ti,4,84.18,Desktop,6412
EVGA NVIDIA GeForce RTX 3080 10 GB,480,Pre-Owned,EVGA,GeForce RTX 3080,10,77.66,Desktop,17441.5
MSI NVIDIA GeForce RTX 2070 8 GB,127.5,Pre-Owned,MSI,GeForce RTX 2070,8,91.88,Desktop,12204.5
ZOTAC NVIDIA GeForce RTX 2080 Ti 11 GB,280,Pre-Owned,ZOTAC,GeForce RTX 2080 Ti,11,87.18,Desktop,15598
NVIDIA NVIDIA GeForce GTX 1080 Ti 11 GB,179,Pre-Owned,NVIDIA,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
MSI NVIDIA GeForce RTX 3060 12 GB,235,Pre-Owned,MSI,GeForce RTX 3060,12,99.76,Desktop,13234
MSI NVIDIA GeForce RTX 3080 10 GB,445,Open Box,MSI,GeForce RTX 3080,10,77.66,Desktop,17441.5
NVIDIA NVIDIA GeForce RTX 3080 Ti 12 GB,520,Pre-Owned,NVIDIA,GeForce RTX 3080 Ti,12,76.82,Desktop,18598.5
MSI NVIDIA GeForce RTX 3060 12 GB,206.51,Pre-Owned,MSI,GeForce RTX 3060,12,99.76,Desktop,13234
ASUS NVIDIA GeForce RTX 2080 8 GB,300,Pre-Owned,ASUS,GeForce RTX 2080,8,74.93,Desktop,13951
EVGA NVIDIA GeForce GTX 1070 8 GB,80,Pre-Owned,EVGA,GeForce GTX 1070,8,89.88,Desktop,11026
